Ranking,Nome,Categoria,Lançamento,Pontuação (Multi),Pontuação (Single),Preço,Socket,Tdp,cpuCounts,Núcleos,Threads,Clock Base (MHz),Clock Turbo (MHz)
1,AMD EPYC 9J45,Server,Apr 2025,"201,335","3,488",NA,Unknown,NA,2,128,2,4121,NA
2,AMD EPYC 9575F,Server,Oct 2024,"200,551","4,257","$15,374.00*",SP5,400,2,64,2,3300,5000
3,AMD EPYC 9755,Server,May 2025,"198,588","3,505","$25,968.00*",SP5,500,2,128,2,2700,4100
4,AMD EPYC 9K65,Server,Apr 2025,"187,923","3,176",NA,SP5,NA,2,192,2,2250,2700
5,AMD EPYC 9655,Server,Dec 2024,"184,114","3,493","$23,704.00*",SP5,400,2,96,2,2600,4500
6,AMD EPYC 9965,Server,Oct 2024,"183,557","3,111","$29,626.00*",SP5,500,2,192,2,2250,3700
7,AMD EPYC 9555,Server,Jan 2025,"182,471","3,743","$19,652.00*",SP5,360,2,64,2,3200,4200
1,AMD Ryzen Threadripper PRO 9995WX,"Desktop, Server",May 2025,"173,772","4,551",NA,sTR5,350,1,96,2,2500,5400
8,AMD EPYC 9745,Server,Oct 2024,"173,717","3,157","$24,282.00*",SP5,400,2,128,2,2400,3700
9,AMD EPYC 9475F,Server,Jun 2025,"166,467","3,846","$15,184.00*",SP5,400,2,48,2,3650,4800
2,AMD EPYC 9755,Server,May 2025,"166,328","3,503","$12,984.00*",SP5,500,1,128,2,2700,4100
3,AMD EPYC Embedded 9755,Mobile/Embedded,Jul 2025,"164,010","3,508",NA,Unknown,500,1,128,2,2700,4100
10,AMD EPYC 9845,Server,Dec 2024,"163,334","3,023","$27,128.00*",SP5,390,2,160,2,2100,3700
11,Intel Xeon 6960P,Server,Aug 2025,"160,785","3,164","$19,250.00*",FCLGA7529,500,2,72,2,2700,3900
4,AMD EPYC 9965,Server,Oct 2024,"160,542","3,176","$14,813.00*",SP5,500,1,192,2,2250,3700
5,AMD EPYC 9655P,Server,Nov 2024,"160,490","3,849","$10,811.00*",SP5,400,1,96,2,2600,4500
6,AMD EPYC 9B45,Server,May 2025,"158,790","3,540","$13,564.00*",SP5,390,1,32,8,2100,3700
12,Intel Xeon Platinum 8490H,Server,May 2025,"157,156","2,925","$68,000.00*",FCLGA4677,350,4,60,2,1900,3500
