Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
1,GeForce RTX 5090 D,Desktop,Feb 2025,"41,725","1,387",NA,PCIe 5.0 x16,575,2017 MHz,2017 MHz,32768 MB
2,RTX PRO 5000 72GB Blackwell,Desktop,Dec 2025,"40,493","1,436",NA,NA,NA,NA,NA,NA
3,GeForce RTX 5090,Desktop,Jan 2025,"38,949","1,413","$3,730.00",PCIe 5.0 x16,575,2017 MHz,2017 MHz,32768 MB
4,GeForce RTX 4090,Desktop,Oct 2022,"38,078","1,303","$3,399.95",PCIe 4.0 x16,450,2230 MHz,NA,24576 MB
5,GeForce RTX 5080,Desktop,Jan 2025,"35,720","1,409","$1,364.99",PCIe 5.0 x16,360,2295 MHz,2295 MHz,16384 MB
6,RTX PRO 6000 Blackwell Workstation Edition,Desktop,May 2025,"35,626","1,356",NA,NA,NA,NA,NA,NA
7,GeForce RTX 4080,Desktop,Nov 2022,"34,438","1,250","$1,499.95",PCIe 4.0 x16,320,2205 MHz,2205 MHz,16384 MB
8,GeForce RTX 4080 SUPER,Desktop,Jan 2024,"34,257","1,277","$1,549.99",PCIe 4.0 x16,320,2295 MHz,2295 MHz,16384 MB
9,RTX PRO 4500 Blackwell,Desktop,Aug 2025,"33,439","1,311","$3,018.99",NA,NA,NA,NA,NA
10,nVidia L40-48Q,Desktop,Nov 2025,"33,270","1,371",NA,NA,NA,NA,NA,NA
11,nVidia L40-4Q,Desktop,Mar 2025,"32,601","1,389",NA,NA,NA,NA,NA,NA
12,GeForce RTX 5070 Ti,Desktop,Feb 2025,"32,450","1,331",$989.99,PCIe 5.0 x16,300,2300 MHz,2300 MHz,16384 MB
13,RTX PRO 6000 Blackwell Max-Q Workstation Edition,Desktop,Jun 2025,"31,910","1,156",NA,NA,NA,NA,NA,NA
14,GeForce RTX 4070 Ti SUPER,Desktop,Jan 2024,"31,790","1,240","$1,701.19*",PCIe 4.0 x16,285,2340 MHz,2340 MHz,16384 MB
15,GeForce RTX 4070 Ti,Desktop,Jan 2023,"31,567","1,208",$849.99*,PCIe 4.0 x16,285,2310 MHz,2310 MHz,12288 MB
